time_s,bytes_cum,bytes_delta,inst_bps,ema_bps,chunk_size
77.057,94668097,593768,2206044.844,1942046.445,8192
77.329,95312529,644432,2371219.447,2027881.045,8192
77.597,95878873,566344,2110675.319,2044439.900,8192
77.864,96532777,653904,2447316.034,2125015.127,8192
78.150,97239401,706624,2476184.269,2195248.955,8192
78.416,97800697,561296,2110690.783,2178337.321,8192
78.690,98237321,436624,1592550.512,2061179.959,8192
78.954,98613801,376480,1425127.795,1933969.526,8192
79.239,98926281,312480,1095492.767,1766274.174,8192
79.508,99197345,271064,1009998.487,1615019.037,8192
79.761,99404409,207064,816392.511,1455293.732,8192
80.021,99651241,246832,950890.998,1354413.185,8192
80.316,99927721,276480,936508.275,1270832.203,8192
80.586,100210345,282624,1047710.136,1226207.790,8192
80.881,100378281,167936,568757.874,1094717.807,8192
81.141,100578985,200704,772912.033,1030356.652,8192
81.447,100775593,196608,642763.338,952837.989,8192
81.698,100927145,151552,602443.691,882759.130,8192
81.973,101123753,196608,715450.705,849297.445,8192
82.236,101328553,204800,779402.760,835318.508,8192
82.499,101562025,233472,888096.332,845874.073,8192
82.774,101815977,253952,923528.648,861404.988,8192
83.062,102098601,282624,980700.645,885264.119,8192
83.329,102377129,278528,1044722.376,917155.770,8192
83.594,102704809,327680,1234136.406,980551.898,8192
83.858,103024297,319488,1209730.460,1026387.610,8192
84.127,103372457,348160,1293634.047,1079836.897,8192
84.386,103716521,344064,1327890.510,1129447.620,8192
84.656,104113833,397312,1472543.071,1198066.710,8192
84.922,104490665,376832,1417011.645,1241855.697,8192
85.181,104896169,405504,1566630.595,1306810.677,8192
85.442,105338537,442368,1697711.110,1384990.763,8192
85.725,105809577,471040,1659337.082,1439860.027,8192
85.999,106280617,471040,1718797.265,1495647.475,8192
86.271,106747561,466944,1721436.034,1540805.187,8192
86.555,107271849,524288,1846349.757,1601914.101,8192
86.823,107787945,516096,1924359.160,1666403.113,8192
87.097,108316329,528384,1929732.809,1719069.052,8192
87.361,108881577,565248,2137349.737,1802725.189,8192
87.632,109483689,602112,2221918.805,1886563.912,8192
87.908,110081705,598016,2165560.257,1942363.181,8192
88.175,110695913,614208,2305739.648,2015038.475,8192
88.455,111331961,636048,2265306.493,2065092.078,8192
88.731,111993073,661112,2399432.364,2131960.135,8192
